person_id,children_bio,children_step,children_adopted,grand_children_bio,grand_children_step,grand_children_adopted,siblings_full,siblings_half_f,siblings_half_m,siblings_step,siblings_cousin_f,siblings_cousin_m,siblings_distant,parents_bio,parents_step,parents_adopted,grandparents_f,grandparents_m,spouses
1,,,,,,,,,,,,f3,,2; 3,,,,,
2,1,,,,,,,,,,,,,4; 5,,,,,
3,1,,,,,,,,,,,,,6; 7,,,,,
4,2,,,2:1,,,,,,,,,,8; 9,,,,,
5,2,,,2:1,,,,,,,,,,10; 11,,,,,
6,3;f1,,,3:1; f1:f3,,,,,,,,,,12; 13,,,,,
7,3;f1,,,3:1; f1:f3,,,,,,,,,,14; 15,,,,,
8,,,,,,,,,,,,,,16; 17,,,,,
9,,,,,,,,,,,,,,18; 19,,,,,
10,,,,,,,,,,,,,,20; 21,,,,,
11,,,,,,,,,,,,,,22; 23,,,,,
12,,,,,,,,,,,,,,24; 25,,,,,
13,,,,,,,,,,,,,,26; 27,,,,,
14,,,,,,,,,,,,,,28; 29,,,,,
15,,,,,,,,,,,,,,30; 31,,,,,
16,,,,,,,,,,,,,,32; 33,,,,,
17,,,,,,,,,,,,,,34; 35,,,,,
18,,,,,,,,,,,,,,36; 37,,,,,
19,,,,,,,,,,,,,,38; 39,,,,,
20,,,,,,,,,,,,,,40; 41,,,,,
21,,,,,,,,,,,,,,42; 43,,,,,
22,,,,,,,,,,,,,,44; 45,,,,,
23,,,,,,,,,,,,,,46; 47,,,,,
24,,,,,,,,,,,,,,48; 49,,,,,
25,,,,,,,,,,,,,,50; 51,,,,,
26,,,,,,,,,,,,,,52; 53,,,,,
27,,,,,,,,,,,,,,54; 55,,,,,
28,,,,,,,,,,,,,,56; 57,,,,,
29,,,,,,,,,,,,,,58; 59,,,,,
30,,,,,,,,,,,,,,60; 61,,,,,
31,,,,,,,,,,,,,,62; 63,,,,,
32,,,,,,,,,,,,,,64; 65,,,,,
33,,,,,,,,,,,,,,66; 67,,,,,
34,,,,,,,,,,,,,,68; 69,,,,,
35,,,,,,,,,,,,,,70; 71,,,,,
36,,,,,,,,,,,,,,72; 73,,,,,
37,,,,,,,,,,,,,,74; 75,,,,,
38,,,,,,,,,,,,,,76; 77,,,,,
39,,,,,,,,,,,,,,78; 79,,,,,
40,,,,,,,,,,,,,,80; 81,,,,,
41,,,,,,,,,,,,,,82; 83,,,,,
42,,,,,,,,,,,,,,84; 85,,,,,
43,,,,,,,,,,,,,,86; 87,,,,,
44,,,,,,,,,,,,,,86; 87,,,,,
45,,,,,,,,,,,,,,90; 91,,,,,
46,,,,,,,,,,,,,,92; 93,,,,,
47,,,,,,,,,,,,,,94; 95,,,,,
48,,,,,,,,,,,,,,96; 97,,,,,
49,,,,,,,,,,,,,,98; 99,,,,,
50,,,,,,,,,,,,,,100; 101,,,,,
51,,,,,,,,,,,,,,102; 103,,,,,
52,,,,,,,,,,,,,,104; 105,,,,,
53,,,,,,,,,,,,,,106; 107,,,,,
54,,,,,,,,,,,,,,108; 109,,,,,
55,,,,,,,,,,,,,,110; 111,,,,,
56,,,,,,,,,,,,,,112; 113,,,,,
57,,,,,,,,,,,,,,114; 115,,,,,
58,,,,,,,,,,,,,,116; 117,,,,,
59,,,,,,,,,,,,,,118; 119,,,,,
60,,,,,,,,,,,,,,120; 121,,,,,
61,,,,,,,,,,,,,,122; 123,,,,,
62,,,,,,,,,,,,,,124; 125,,,,,
63,,,,,,,,,,,,,,126; 127,,,,,
64,,,,,,,,,,,,,,128; 129,,,,,
65,,,,,,,,,,,,,,130; 131,,,,,
66,,,,,,,,,,,,,,132; 133,,,,,
67,,,,,,,,,,,,,,134; 135,,,,,
68,,,,,,,,,,,,,,136; 137,,,,,
69,,,,,,,,,,,,,,138; 139,,,,,
70,,,,,,,,,,,,,,140; 141,,,,,
71,,,,,,,,,,,,,,142; 143,,,,,
72,,,,,,,,,,,,,,144; 145,,,,,
73,,,,,,,,,,,,,,146; 147,,,,,
74,,,,,,,,,,,,,,148; 149,,,,,
75,,,,,,,,,,,,,,150; 151,,,,,
76,,,,,,,,,,,,,,152; 153,,,,,
77,,,,,,,,,,,,,,154; 155,,,,,
78,,,,,,,,,,,,,,156; 157,,,,,
79,,,,,,,,,,,,,,158; 159,,,,,
80,,,,,,,,,,,,,,160; 161,,,,,
81,,,,,,,,,,,,,,162; 163,,,,,
82,,,,,,,,,,,,,,164; 165,,,,,
83,,,,,,,,,,,,,,166; 167,,,,,
84,,,,,,,,,,,,,,168; 169,,,,,
