person_id,parents_bio,parents_step,parents_adopted,spouses
1,2;3,,,
2,4;5,,,3
3,6;7,,,2
4,8;9,,,5
5,10;11,,,4
6,12;13,,,7
7,14;15,,,6
8,16;17,,,9
9,18;19,,,8
10,20;21,,,11
11,22;23,,,10
12,24;25,,,13
13,26;27,,,12
14,28;29,,,15
15,30;31,,,14
16,32;33,,,17
17,34;35,,,16
18,36;37,,,19
19,,,,18
20,40;41,,,21
21,42;43,,,20
22,44;45,,,23
23,46;47,,,22
24,48;49,,,25
25,50;51,,,24
26,52;53,,,27
27,54;55,,,26
28,56;57,,,29
29,58;59,,,28
30,60;61,,,31
31,62;63,,,30
32,,,,33
33,,,,32
34,,,,35
35,70;,,,34
36,72;,,,37
37,74;75,,,36
40,,,,41
41,34;35,,,40
42,,,,43
43,86;87,,,42
44,88;,,,45
45,,,,44
46,92;93,,,47
47,94;95,,,46
48,96;97,,,49
49,98;99,,,48
50,100;101,,,51
51,102;103,,,50
52,104;105,,,53
53,106;107,,,52
54,108;109,,,55
55,110;111,,,54
56,112;113,,,57
57,,,,56
58,116;117,,,59
59,118;119,,,58
60,120;121,,,61
61,122;123,,,60
62,124;125,,,63
63,126;127,,,62
70,,,,
72,144;145,,,
74,148;149,,,75
75,150;151,,,74
86,172;173,,,87
87,,,,86
88,176;177,,,
92,184;185,,,93
93,186;187,,,92
94,188;189,,,95
95,190;191,,,94
96,192;193,,,97
97,194;,,,96
98,196;197,,,99
99,198;199,,,98
100,200;201,,,101
101,202;203,,,100
102,204;205,,,103
103,206;207,,,102
104,208;209,,,105
105,210;211,,,104
106,,,,107
107,,,,106
108,200;201,,,109
109,218;219,,,108
110,220;221,,,111
111,;223,,,110
112,224;225,,,113
113,226;227,,,112
116,232;,,,117
117,234;,,,116
118,236;237,,,119
119,,,,118
120,240;241,,,121
121,,,,120
122,244;245,,,123
123,246;,,,122
124,236;237,,,125
125,250;251,,,124
126,252;253,,,127
127,,,,126
144,288;289,,,145
145,,,,144
148,296;297,,,149
149,,,,148
150,300;301,,,151
151,302;303,,,150
172,344;345,,,173
173,,,,172
176,352;353,,,177
177,354;355,,,176
184,368;369,,,185
185,370;371,,,184
186,372;,,,187
187,374;375,,,186
188,376;377,,,189
189,378;379,,,188
190,380;381,,,191
191,382;,,,190
192,384;385,,,193
193,386;387,,,192
194,388;389,,,
196,392;393,,,197
197,394;395,,,196
198,396;397,,,199
199,398;399,,,198
200,400;401,,,201
201,402;403,,,200
202,,,,203
203,,,,202
204,408;409,,,205
205,410;,,,204
206,412;413,,,207
207,414;,,,206
208,416;417,,,209
209,418;419,,,208
210,420;421,,,211
211,422;,,,210
218,436;437,,,219
219,438;439,,,218
220,440;441,,,221
221,,,,220
223,,,,
224,448;449,,,225
225,,,,224
226,386;387,,,227
227,,,,226
232,464;465,,,
234,,,,
236,472;473,,,237
237,474;475,,,236
240,480;481,,,241
241,482;483,,,240
244,488;489,,,245
245,490;491,,,244
246,,,,
250,500;501,,,251
251,502;,,,250
252,504;505,,,253
253,,,,252
288,,,,289
289,,,,288
296,592;593,,,297
297,594;595,,,296
300,600;601,,,301
301,602;603,,,300
302,,,,303
303,606;607,,,302
344,,,,345
345,,,,344
352,704;705,,,353
353,706;707,,,352
354,708;709,,,355
355,710;,,,354
368,736;737,,,369
369,738;739,,,368
370,740;741,,,371
371,742;743,,,370
372,744;745,,,
374,,,,375
375,,,,374
376,752;753,,,377
377,754;,,,376
378,756;757,,,379
379,,,,378
380,760;761,,,381
381,762;,,,380
382,,,,
384,768;769,,,385
385,770;771,,,384
386,772;773,,,387
387,774;,,,386
388,776;777,,,389
389,778;,,,388
392,784;785,,,393
393,490;491,,,392
394,788;789,,,395
395,790;791,,,394
396,792;793,,,397
397,244;245,,,396
398,796;797,,,399
399,798;799,,,398
400,800;,,,401
401,802;803,,,400
402,804;805,,,403
403,806;807,,,402
408,816;817,,,409
409,818;819,,,408
410,,,,
412,824;,,,413
413,826;827,,,412
414,,,,
416,,,,
417,,,,
418,836;837,,,419
419,838;,,,418
420,,,,421
421,,,,420
422,,,,
436,872;873,,,437
437,874;,,,436
438,876;877,,,439
439,878;879,,,438
440,880;881,,,441
441,882;,,,
448,896;,,,449
449,898;837,,,448
464,,,,465
465,,,,464
472,944;945,,,473
473,946;,,,472
474,948;949,,,475
475,950;,,,474
480,960;961,,,481
481,962;963,,,480
482,964;965,,,483
483,,,,482
488,760;761,,,489
489,978;,,,488
490,980;981,,,491
491,982;983,,,490
500,1000;1001,,,1001
501,1002;,,,1000
502,,,,
504,1008;1009,,,505
505,,,,504
592,1184;1185,,,593
593,1186;,,,592
594,1188;,,,595
595,1190;,,,594
600,1200;1201,,,601
601,1202;1203,,,600
602,,,,603
603,,,,602
606,1212;1213,,,607
607,,,,606
704,1408;,,,705
705,,,,704
706,1412;1413,,,707
707,1414;,,,706
708,1416;,,,709
709,1418;,,,708
710,,,,
736,1472;,,,737
737,1474;1475,,,736
738,1476;1477,,,739
739,1478;,,,738
740,1480;1481,,,741
741,1482;1483,,,740
742,1484;1485,,,743
743,1486;1487,,,742
744,1488;1489,,,745
745,,,,744
752,1504;1505,,,753
753,1506;1507,,,752
754,1472;,,,
756,1512;,,,757
757,1514;1515,,,756
760,1520;1521,,,761
761,1522;,,,760
762,,,,
768,1536;,,,769
769,1538;1539,,,768
770,1540;1541,,,771
771,1542;1543,,,770
772,1484;1485,,,773
773,1546;,,,772
774,,,,
776,1552;1553,,,777
777,1554;,,,776
778,,,,
784,376;377,,,785
785,1570;,,,784
788,1576;1577,,,789
789,1578;,,,788
790,1580;1581,,,791
791,1582;,,,790
792,1584;1585,,,793
793,1586;1587,,,792
796,1592;1593,,,797
