admin_name,year_start,year_end,flag_file
Російське царство,1547-01-16,1721-11-01,russia
Російська імперія,1721-11-02,1917-03-15,russia
Габсбурзька монархія,1526-01-01,1804-08-10,austrian-empire
Австрійська імперія,1804-08-11,1867-06-07,austrian-empire
Австро-Угорська імперія,1867-06-08,1918-10-31,austro-hungarian
Польська Республіка,1918-11-11,1939-09-28,poland
СРСР,1922-12-30,1923-11-11,ussr-1922
СРСР,1923-11-12,1924-04-17,ussr-1923
СРСР,1924-04-18,1936-12-04,ussr-1924
СРСР,1936-12-05,1955-08-18,ussr-1936
СРСР,1955-08-19,1991-12-26,ussr-1955
РРФСР,1918-06-17,1937-01-20,rsfsr-1918
РРФСР,1937-01-21,1954-01-08,rsfsr-1937
РРФСР,1954-01-09,1991-11-01,rsfsr-1954
УРСР,1950-07-05,1991-08-23,ukr-ssr-1950
Україна,1991-08-24,9999-12-31,ukraine
Королівство Галичини та Володимирії,1772-08-05,1799-12-31,galicia-1772
Королівство Галичини та Володимирії,1800-01-01,1848-12-31,galicia-1800
Королівство Галичини та Володимирії,1849-01-01,1918-10-31,galicia-1849
Львівська область,2001-02-27,9999-12-31,lviv-obl
Німецька імперія (Третій Рейх),1935-09-15,1945-05-23,nazi-germany
РФ,1991-08-22,1993-12-11,russia-1991
РФ,1993-12-12,9999-12-31,russia
