person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
2,3,M_2_3_1,1,1,,22,5,1982,,RU_NEFT,Ханти-Мансійський автономний округ / Тюменська область / РРФСР / СРСР,Відділ реєстрації актів цивільного стану,"1-й мікрорайон, буд. 23",1982-05-22
2,3,M_2_3_1,,1,,31,7,1994,UA_SAM_POK,UA_SAM,Львівська область / Україна,,,1994-07-31
3,2,M_3,1,1,,,,,,,,,,
4,,M_4_1,1,1,,,,,,,,,,
4,5,M_4_2,2,,,,,1948,,,,,,1948-00-00
4,5,M_4_2,1,2,,,,,,,,,,1964-00-00
5,4,M_5,1,1,,,,,,,,,,
6,,M_6_1,2,,,,,,,,,,,
6,7,M_6_2,1,1,,14,12,1945,,UA_DUB,Дублянський район / Дрогобицька область / УРСР / СРСР,Відділ реєстрації актів цивільного стану,,1945-12-14
7,6,M_7,1,1,,,,,,,,,,
8,9,M_8,,1,,,,1900-1902,,,,,,1900-00-00
9,8,M_9,,1,,,,,,,,,,
10,11,M_10,,1,1,31,1,1914,RU_BAB_MYK,RU_BAB,Домославська волость / Вишньоволоцький повіт / Тверська губернія / Російська імперія,,,1914-01-31
11,10,M_11,,1,,,,,,,,,,
12,,M_12_1,,1,1,7,1,1902,,,,,,1902-01-07
12,13,M_12_2,,2,1,9,4,1906,RU_LEL_TRI,RU_LEL,Лелечівська волость / Єгор'євський повіт / Рязанська губернія / Російська імперія,,,1906-04-09
13,12,M_13,,1,,,,,,,,,,
14,15,M_14,,1,,12,9,1920,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Польська Республіка,,,1920-09-12
15,14,M_15_1,,1,,,,,,,,,,
15,,M_15_2,,2,,,,,,,,,,
15,,M_15_3,,3,,,,,,,,,,
16,17,M_16,,1,1,30,1,1856,RU_KRE_PET,RU_NAZ,Вишньоволоцький повіт / Тверська губернія / Російська імперія,,,1856-01-30
17,16,M_17,,1,,,,,,,,,,
18,19,M_18_1,,1,,,,,,,,,,
18,,M_18_2,,2,,,,,,,,,,
19,18,M_19,,1,,,,,,,,,,
20,21,M_20,,1,,,,,,,,,,
21,20,M_21,,1,,,,,,,,,,
22,23,M_22,,1,1,30,7,1882,RU_BAB_MYK,RU_BAB,Домославська волость / Вишньоволоцький повіт / Тверська губернія / Російська імперія,,,1882-07-30
23,22,M_23,,1,,,,,,,,,,
24,25,M_24,,1,1,1,6,1870,RU_LEL_TRI,RU_LEL,Лелечівська волость / Єгор'євський повіт / Рязанська губернія / Російська імперія,,,1870-06-01
25,24,M_25,,1,,,,,,,,,,
26,27,M_26,,1,1,19,9,1886,RU_LEL_TRI,RU_LEL,Лелечівська волость / Єгор'євський повіт / Рязанська губернія / Російська імперія,,,1886-09-19
27,26,M_27,,1,,,,,,,,,,
28,29,M_28,,1,,19,11,1876,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,,,1876-11-19
29,28,M_29,,1,,,,,,,,,,
