place_id,name_current,status,geo_lat,geo_lng,google_maps_url,note
PL_RAKOWA,с. Ракова,,,,https://maps.app.goo.gl/xMrU8ngRh3LiMUd16,
PL_TYRAWA_WOLOSKA,с. Тирява Волоська,,,,https://maps.app.goo.gl/VzSQsfzMPYidqCHA7,
RU_ALEKSEEVSKAYA,сел. Олексіївська,PE,,,https://familio.org/settlements/6c956bc9-8e5c-4ded-9276-28933555d9ec,
RU_AVSEEVO,c. Овсійове,,,,https://familio.org/settlements/4f404ce8-6178-49ed-981f-4f10a4813f34,
RU_BABYE,с. Баб'є,PE,,,https://familio.org/settlements/4c28e81d-7e6f-47fc-abbb-835f88568f32,
RU_BAKHAREVO,сел. Бахарєве,,,,https://familio.org/settlements/74c4f0a6-14a1-4e0f-b215-8de1aee16a83,
RU_BELAVINO,сел. Білавіне,,,,https://familio.org/settlements/c264f2e4-d5d2-4765-a28d-d7957b437cc8,
RU_BEREZOVKA,сел. Березівка,,,,https://familio.org/settlements/5c70b1d6-8c26-4d36-8485-2b53193d2c91,
RU_BEREZNIKI,сел. Березники,,,,https://familio.org/settlements/dc49c28d-0118-4e4b-ba04-5d7f4c019a11,
RU_BORKI,сел. Борки,,,,https://familio.org/settlements/fbc06df9-505b-434a-a117-cbd0c4b5d220,
RU_BOR,сел. Бору,,,,https://familio.org/settlements/5958e973-d947-4ed4-b61e-2bfaa431c66a,
RU_BUDILOVO,сел. Будилове,,,,https://familio.org/settlements/10d23aa4-185e-4aa3-bbdc-35064c5f299e,
RU_DOBRETSOVO,сел. Добрецове,,,,https://familio.org/settlements/a95b847e-5b03-495d-8a00-75cd6a5dac0d,
RU_DOLGANOVO,сел. Долганове,,,,https://familio.org/settlements/c4600007-a06d-4ce1-a0d8-5092fd62e3cf,
RU_DOMOSLAVL,сел. Домославль,,,,https://familio.org/settlements/6215422f-16f6-4bef-9771-0bbd2f37d669,
RU_DVORISHCHE,сел. Дворище,,,,https://familio.org/settlements/ecc412eb-2bcc-4a43-929e-e2e5ddf19bc4,
RU_BOLSHOY_DVOR,сел. Великий Двір,NE,,,https://familio.org/settlements/ed9b1c25-f57c-4eb7-acbb-f541114e0e74,
RU_FEDOVO,сел. Федове,NE,,,https://familio.org/settlements/fa43d225-5cb9-42ae-be39-d65cc5183c12,
RU_FILATIKHA,сел. Філатиха,,,,https://familio.org/settlements/4e942df0-00f1-4859-b1ba-8ab4980cc698,
RU_FILIZI,сел. Філізі,,,,https://familio.org/settlements/56b72d8f-261f-474d-993c-4d5e189392a9,
RU_GAVRILKOVO,сел. Гаврилкове,,,,https://familio.org/settlements/b3cf1fa8-e819-42e2-a856-ed80fb2ef7a9,
RU_GORKA_O,сел. Гірка,NE,,,https://familio.org/settlements/30d3cd98-2806-412f-9f54-bea72c5ce97c,
RU_GORKA_T,сел. Гірка,,,,https://familio.org/settlements/5325159c-691e-4e93-98d4-5b9c57cc7656,
RU_GLUBOKOE,сел. Глибоке,,,,https://familio.org/settlements/881af40c-3eee-4d9b-8295-be0ad59b64fd,
RU_GNEZDOVO,сел. Гніздове,,,,https://familio.org/settlements/fbeb414d-c064-4612-8689-25d3260b68eb,
RU_VOYBUTSKAYA_GORA,сел. Войбутська Гора,,,,https://familio.org/settlements/8fa7f218-cc7e-428a-afb7-6b2a80771971,
RU_GORBOVO,сел. Горбове,,,,https://familio.org/settlements/c5ac1b41-f187-4726-90ff-6806106e404f,
RU_GORBUNOVO,сел. Горбунове,,,,https://familio.org/settlements/d058f8dd-bca6-4b5e-bea3-58f2994844cf,
RU_GORODOK,сел. Городок,,,,https://familio.org/settlements/a0dd6f9a-1895-4b8b-b47a-8f26df69efe7,
RU_GORA,сел. Гора,,,,https://familio.org/settlements/3c63a976-1117-4ff6-8e9d-64a64fe19d71,
RU_GRANITSA,сел. Границя,,,,https://familio.org/settlements/9f1262fb-d812-41ba-a9ac-74a75ccd560e,
RU_GRIDINSKAYA,сел. Гридінська,,,,https://familio.org/settlements/f279acbd-ead4-4cde-b81d-9155c7c51628,
RU_ILYINSKIY,п. Іллінський,NE,,,https://familio.org/settlements/791c007f-a56b-424c-94ac-8f1657013209,
RU_YUNYAKHINO,сел. Юняхіне,,,,https://familio.org/settlements/8e7145a7-ec66-4b7a-859e-642ad12ba877,
RU_KALIKINO,сел. Каликіне,,,,https://familio.org/settlements/b4839f03-6faf-4f3a-9ea4-2bbed62b099f,
RU_KALYAGINO,сел. Калягіне,,,,https://familio.org/settlements/d4cdd039-3e0b-4b39-af48-bd06ced23948,
RU_KARABIKHA,сел. Карабиха,NE,,,https://familio.org/settlements/3bc7b492-d3d1-4981-824a-df61d666267d,
RU_KHARINSKAYA,сел. Харінська,,,,https://familio.org/settlements/043e9638-5e17-47f2-bd28-4908521e4bed,
RU_KHLESTOVO,сел. Хлєстове,,,,https://familio.org/settlements/1e433dc3-4e65-4215-a303-efb4f809c94a,
RU_KHVALOVO,сел. Хвалове,,,,https://familio.org/settlements/51aa23d8-ecf4-4a01-8825-06e6ace4c3c6,
RU_KOCHEMA,сел. Кочема,,,,https://familio.org/settlements/20c40229-ddcd-45e7-ae44-3d731df0c294,
RU_KOSKOVO,сел. Коскове,NE,,,https://familio.org/settlements/3c4cc6bc-a424-4882-8dd2-031e2bd9ee58,
RU_KOZLOVO_D,сел. Козлове,,,,https://familio.org/settlements/21958706-4891-4c25-9e7a-a995bfc84ff6,
RU_KOZLOVO_S,с. Козлове,,,,https://familio.org/settlements/da6357be-8b95-4e81-8fc0-f1d6cbf6ced3,
RU_KRUTOVO,сц. Крутове,,,,https://familio.org/settlements/4876c970-7e11-40c7-acf3-7972a20a14ef,
RU_KSENOFONTOVO,сел. Ксенофонтове,PE,,,https://familio.org/settlements/3e15b84f-d429-4a9c-ae2b-e83239be234b,
RU_KUMOVO,сел. Кумове,NE,,,https://familio.org/settlements/14654b24-2693-49ff-b33d-3f6a98a6f314,
RU_KURGANY,сел. Кургани,,,,https://familio.org/settlements/4233fb11-ccce-4533-9e0f-0395ac72995a,
RU_LADENKOVO,сел. Ладенькове,,,,https://familio.org/settlements/ea98a632-aca9-4c98-bb7b-bdda00a7a114,
RU_LAZAREVO,сел. Лазарєве,,,,https://familio.org/settlements/eee70c13-c22e-4744-99e8-c93f0444265e,
RU_LELECHI,с. Лелечі,,,,https://familio.org/settlements/8fefc7ac-9e84-4456-8728-fd46adfe53d7,
RU_LINDINO,сел. Ліндіне,,,,https://familio.org/settlements/2c1aa856-8dab-4edd-99c4-478c8e0d7812,
RU_LUKINO_T,сел. Лукіне,,,,https://familio.org/settlements/18ac2621-3bc7-4563-a5d3-d107da813212,
RU_LUKINO_O,сел. Лукіне,,,,https://familio.org/settlements/f512a3b2-8232-4b2a-8fb4-aebdb7b374e6,
RU_MAKAROVSKAYA_GORKA,сел. Макарівська Гірка,NE,,,https://familio.org/settlements/bcfa7d59-c8f9-4487-972e-ed74dcd3b583,
RU_MALOE_KOZLOVO,сел. Мале Козлове,,,,https://familio.org/settlements/7c56caf4-f040-4ff0-88d2-9b03e75c1abc,
RU_MATVEEVO,с. Матвійове,,,,https://familio.org/settlements/adb632a5-c42b-4a82-a5d7-1b62f14cbf77,
RU_MAZOVO,сел. Мазово,,,,https://familio.org/settlements/e6a737f4-7e06-4228-9257-5aad9b71f2d7,
RU_MIKHAYLOVA_GORA,с. Михайлова Гора,,,,https://familio.org/settlements/d2ad0075-5960-470b-9b63-81f87d45f812,
RU_MOGILKI,с. Могилки,NE,,,https://familio.org/settlements/8906a08a-1ebc-4c28-948e-d6f7d4abcc88,
RU_MOSHKOVO,сел. Мошкове,,,,https://familio.org/settlements/b11d816e-01e4-43b7-8048-3bc08df15bcf,
RU_NASHATYRKINO,сц. Нашатиркіне,,,,https://familio.org/settlements/edd22d78-d55c-48b5-94dd-4e4872e81e2d,
RU_NAYDENIKHA,сел. Найдьониха,,,,https://familio.org/settlements/d2057770-985b-4e81-833c-7e8498cbd2c0,
RU_NAZAROVO,с. Назарове,,,,https://familio.org/settlements/5627786d-77ae-4603-9cdb-c05fae814b2e,
RU_NEFTEYUGANSK,м. Нафтоюганськ,,,,https://familio.org/settlements/f99084b2-816b-4d48-9357-1f96f01632a4,
RU_NIKULINO,сел. Нікуліне,,,,https://familio.org/settlements/0c5a946c-0b88-4c47-ac62-fdb08e2586d9,
RU_NOZHKINO,сц. Ножкіне,,,,https://familio.org/settlements/ffc391da-efa6-410a-ac45-3f4a1d7473eb,
RU_NOVOSTANSKOE,п. Новостанський,PE,,,https://familio.org/settlements/fb45d974-d079-4a6b-b57e-b14ae846b8cf,
RU_OLEKHNOVO,сел. Олехнове,,,,https://familio.org/settlements/f1f57219-59f1-4932-a319-1e0f845b6c39,
RU_OSECHNO,с. Осєчно,,,,https://familio.org/settlements/368d5e6f-a20a-405f-b765-d897b46f56e7,
RU_OSOSYE,сел. Ососьє,,,,https://familio.org/settlements/018aac89-77e4-4797-ae29-d14d80ea198a,
RU_OVSISHCHE,с. Овсище,,,,https://familio.org/settlements/add4d977-0304-46c8-9043-8163a7888b5c,
