region_id,region_level,region_name,begin_date,end_date,places_id,flag_url
REG_AH,0,Австро-Угорська Імперія,1867-06-08,1918-10-31,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
REG_AUST_EMP,0,Австрійська імперія,1804-08-11,1867-06-07,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
REG_POL_K,0,Королівство Польське,1385-08-14,1569-07-01,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
REG_RI,0,Російська імперія,1721-10-22,1917-03-15,RU_BAB; RU_BER; RU_BER_NIK; RU_BOR; RU_BUD; RU_DOB; RU_DOL_GAN; RU_DOLG; RU_DOM; RU_DVO; RU_DVO_BIG; RU_FED; RU_FIL; RU_GAV; RU_GLU; RU_GNE; RU_GOR_STR; RU_GOR_VOY; RU_GORA; RU_GORB; RU_GORK; RU_GORKI; RU_GORY; RU_GRA; RU_GRI; RU_KAL; RU_KAR; RU_KHA; RU_KHL; RU_KHV; RU_KOC; RU_KOS; RU_KOZ_D; RU_KOZ_S; RU_KRE_NAZ; RU_KSE; RU_KUM; RU_KUR; RU_LAD; RU_LAZ; RU_LEL; RU_LEL_VRA; RU_LUK; RU_MAL_KOZ; RU_MAT; RU_MOG; RU_MOSH; RU_NEFT; RU_NIK; RU_OLE; RU_PAS; RU_PEN; RU_PLO_BIG; RU_POC; RU_POD; RU_POG_EGO; RU_POG_NOV; RU_POG_OSE; RU_POG_TRE; RU_PRO; RU_RAM; RU_SKO; RU_SLO_NIK; RU_SOS; RU_SOS_GOR; RU_SPA; RU_SPI; RU_STA; RU_STE; RU_SVI; RU_TAR; RU_TIM_OKH; RU_TIM_OSH; RU_TOL; RU_TOM; RU_TSI; RU_VAS; RU_VOR; RU_VYD; RU_VYS; RU_VYS_ILL; RU_YAK; RU_YAN; RU_YASH; RU_YUR; RU_ZAR; RU_ZMI; RU_ZYB,
REG_RP_I,0,Річ Посполита,1569-07-01,1772-08-05,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
REG_RP_II,0,Польська Республіка,1919-07-17,1939-09-17,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
REG_RUS,0,Російська Федерація,1991-12-25,9999-12-31,RU_BAB; RU_BER; RU_BER_NIK; RU_BOR; RU_BUD; RU_DOB; RU_DOL_GAN; RU_DOLG; RU_DOM; RU_DVO; RU_DVO_BIG; RU_FED; RU_FIL; RU_GAV; RU_GLU; RU_GNE; RU_GOR_STR; RU_GOR_VOY; RU_GORA; RU_GORB; RU_GORK; RU_GORKI; RU_GORY; RU_GRA; RU_GRI; RU_KAL; RU_KAR; RU_KHA; RU_KHL; RU_KHV; RU_KOC; RU_KOS; RU_KOZ_D; RU_KOZ_S; RU_KRE_NAZ; RU_KSE; RU_KUM; RU_KUR; RU_LAD; RU_LAZ; RU_LEL; RU_LEL_VRA; RU_LUK; RU_MAL_KOZ; RU_MAT; RU_MOG; RU_MOSH; RU_NEFT; RU_NIK; RU_OLE; RU_PAS; RU_PEN; RU_PLO_BIG; RU_POC; RU_POD; RU_POG_EGO; RU_POG_NOV; RU_POG_OSE; RU_POG_TRE; RU_PRO; RU_RAM; RU_SKO; RU_SLO_NIK; RU_SOS; RU_SOS_GOR; RU_SPA; RU_SPI; RU_STA; RU_STE; RU_SVI; RU_TAR; RU_TIM_OKH; RU_TIM_OSH; RU_TOL; RU_TOM; RU_TSI; RU_VAS; RU_VOR; RU_VYD; RU_VYS; RU_VYS_ILL; RU_YAK; RU_YAN; RU_YASH; RU_YUR; RU_ZAR; RU_ZMI; RU_ZYB,
REG_RUS_REP,0,Російська Республіка,1917-03-15,1917-11-07,RU_BAB; RU_BER; RU_BER_NIK; RU_BOR; RU_BUD; RU_DOB; RU_DOL_GAN; RU_DOLG; RU_DOM; RU_DVO; RU_DVO_BIG; RU_FED; RU_FIL; RU_GAV; RU_GLU; RU_GNE; RU_GOR_STR; RU_GOR_VOY; RU_GORA; RU_GORB; RU_GORK; RU_GORKI; RU_GORY; RU_GRA; RU_GRI; RU_KAL; RU_KAR; RU_KHA; RU_KHL; RU_KHV; RU_KOC; RU_KOS; RU_KOZ_D; RU_KOZ_S; RU_KRE_NAZ; RU_KSE; RU_KUM; RU_KUR; RU_LAD; RU_LAZ; RU_LEL; RU_LEL_VRA; RU_LUK; RU_MAL_KOZ; RU_MAT; RU_MOG; RU_MOSH; RU_NEFT; RU_NIK; RU_OLE; RU_PAS; RU_PEN; RU_PLO_BIG; RU_POC; RU_POD; RU_POG_EGO; RU_POG_NOV; RU_POG_OSE; RU_POG_TRE; RU_PRO; RU_RAM; RU_SKO; RU_SLO_NIK; RU_SOS; RU_SOS_GOR; RU_SPA; RU_SPI; RU_STA; RU_STE; RU_SVI; RU_TAR; RU_TIM_OKH; RU_TIM_OSH; RU_TOL; RU_TOM; RU_TSI; RU_VAS; RU_VOR; RU_VYD; RU_VYS; RU_VYS_ILL; RU_YAK; RU_YAN; RU_YASH; RU_YUR; RU_ZAR; RU_ZMI; RU_ZYB,
REG_TSARDOM_RUS,0,Московське царство,1547-01-26,1721-10-21,RU_BAB; RU_BER; RU_BER_NIK; RU_BOR; RU_BUD; RU_DOB; RU_DOL_GAN; RU_DOLG; RU_DOM; RU_DVO; RU_DVO_BIG; RU_FED; RU_FIL; RU_GAV; RU_GLU; RU_GNE; RU_GOR_STR; RU_GOR_VOY; RU_GORA; RU_GORB; RU_GORK; RU_GORKI; RU_GORY; RU_GRA; RU_GRI; RU_KAL; RU_KAR; RU_KHA; RU_KHL; RU_KHV; RU_KOC; RU_KOS; RU_KOZ_D; RU_KOZ_S; RU_KRE_NAZ; RU_KSE; RU_KUM; RU_KUR; RU_LAD; RU_LAZ; RU_LEL; RU_LEL_VRA; RU_LUK; RU_MAL_KOZ; RU_MAT; RU_MOG; RU_MOSH; RU_NEFT; RU_NIK; RU_OLE; RU_PAS; RU_PEN; RU_PLO_BIG; RU_POC; RU_POD; RU_POG_EGO; RU_POG_NOV; RU_POG_OSE; RU_POG_TRE; RU_PRO; RU_RAM; RU_SKO; RU_SLO_NIK; RU_SOS; RU_SOS_GOR; RU_SPA; RU_SPI; RU_STA; RU_STE; RU_SVI; RU_TAR; RU_TIM_OKH; RU_TIM_OSH; RU_TOL; RU_TOM; RU_TSI; RU_VAS; RU_VOR; RU_VYD; RU_VYS; RU_VYS_ILL; RU_YAK; RU_YAN; RU_YASH; RU_YUR; RU_ZAR; RU_ZMI; RU_ZYB,
REG_UKR,0,Україна,1991-08-24,9999-12-31,UA_DRO; UA_DUB; UA_HORD; UA_HOROD; UA_KUL; UA_LOP; UA_LOPU; UA_LVI; UA_SAM; UA_SIL; UA_STU; UA_UHE_ZAP; UA_URO,
